league_key,league_name,country_name
157,Meistaradeildin,Faroe Islands
158,1. Deild,Faroe Islands
159,National Football League,Fiji
160,Kakkonen,Finland
161,Suomen Cup,Finland
162,National 3,France
163,National 2,France
167,National 1,France
169,Erovnuli Liga 2,Georgia
170,Erovnuli Liga,Georgia
173,Regionalliga,Germany
174,Oberliga,Germany
176,3. Liga,Germany
177,Premier League,Ghana
179,Cup,Greece
180,Gamma Ethniki,Greece
181,Football League,Greece
182,Liga Nacional,Guatemala
183,Primera Division,Guatemala
184,Ligue Haïtienne,Haiti
185,Liga Nacional,Honduras
186,Premier League,Hong Kong
187,HKFA 1st Division,Hong Kong
188,NB II,Hungary
189,Magyar Kupa,Hungary
190,NB III,Hungary
192,Besta deild,Iceland
196,Azadegan League,Iran
197,FAI Cup,Ireland
198,First Division,Ireland
199,League Cup,Ireland
200,Premier Division,Ireland
201,Liga Leumit,Israel
203,Toto Cup Ligat Al,Israel
204,Serie D,Italy
208,Premier League,Jamaica
210,J-League Cup,Japan
211,Japan Football League,Japan
212,J2 League,Japan
213,League,Jordan
215,1. Division,Kazakhstan
216,FKF Premier League,Kenya
217,K3 League,Korea Republic
218,K League 2,Korea Republic
220,Premier League,Kuwait
221,Division 1,Kuwait
222,1. Liga,Latvia
223,Virsliga,Latvia
224,Premier League,Lebanon
225,Premier League,Libya
226,1 Lyga,Lithuania
227,A Lyga,Lithuania
228,National Division,Luxembourg
229,Second League,North Macedonia
230,First League,North Macedonia
231,Premier League,Malaysia
232,Super League,Malaysia
233,Challenge League,Malta
234,Premier League,Malta
236,Liga de Expansión MX,Mexico
237,Super Liga,Moldova
238,Liga 1,Moldova
240,Second League,Montenegro
241,Botola 2,Morocco
242,Derde Divisie,Netherlands
246,Premiership,New Zealand
247,Primera Division,Nicaragua
248,NPFL,Nigeria
249,Irish Cup,Northern Ireland
250,Championship,Northern Ireland
251,Premiership,Northern Ireland
252,NM Cupen,Norway
254,Professional League,Oman
256,Division Intermedia,Paraguay
258,Liga 2,Peru
261,II Liga,Poland
262,III Liga,Poland
263,I Liga,Poland
264,Campeonato de Portugal Prio,Portugal
268,Super Cup,Portugal
270,Liga III,Romania
271,Liga II,Romania
273,Second League B,Russia
274,First League,Russia
276,Campionato,San Marino
277,Division 1,Saudi Arabia
281,League Cup,Scotland
282,Championship,Scotland
283,Challenge Cup,Scotland
284,League Two,Scotland
285,League One,Scotland
286,Highland / Lowland,Scotland
287,Prva Liga,Serbia
289,Premier League,Singapore
290,League Cup,Singapore
291,3. liga,Slovakia
292,Cup,Slovakia
294,2. SNL,Slovenia
295,Cup,Slovenia
298,Tercera División RFEF,Spain
299,Primera División RFEF,Spain
303,Sudani Premier League,Sudan
304,Suriname Major League,Surinam
305,Superettan,Sweden
306,Svenska Cupen,Sweden
309,Schweizer Pokal,Switzerland
310,2. Liga Interregional,Switzerland
311,1. Liga Classic,Switzerland
312,Challenge League,Switzerland
313,Premier League,Syria
315,TT Premier League,Trinidad and Tobago
316,Ligue 2,Tunisia
317,Ligue 1,Tunisia
318,2. Lig,Turkey
319,1. Lig,Turkey
320,Cup,Turkey
321,3. Lig,Turkey
323,Super Cup,Turkey
324,Persha Liga,Ukraine
326,Cup,Ukraine
327,Druha Liga,Ukraine
329,USL League Two,USA
330,USL Championship,USA
331,USL 2,USA
333,Liga AUF,Uruguay
334,Segunda División,Uruguay
335,Super League,Uzbekistan
336,Segunda División,Venezuela
337,Primera División,Venezuela
338,V.League 2,Vietnam
339,V.League 1,Vietnam
340,FAW Championship,Wales
341,Premier League,Wales
342,Super League,Zambia
343,Premier Soccer League,Zimbabwe
345,Premier Division,Gibraltar
347,AFC Asian Cup,intl
348,Super Cup,Belarus
350,Cup,Czech Republic
351,DBU Pokalen,Denmark
352,Veikkausliiga,Finland
353,Ykkönen,Finland
355,Club Friendlies,intl
356,Friendlies,intl
357,League Cup,Iceland
358,State Cup,Israel
359,Serie C,Italy
360,Emperor Cup,Japan
361,Super Cup,Japan
362,1. Division,Norway
363,2. Division,Norway
364,Super Cup,Russia
365,League Cup,South Africa
366,Ettan,Sweden
367,Division 2,Sweden
368,US Open Cup,USA
369,Welsh Cup,Wales
370,League Cup,Wales
371,K League Cup,Korea Republic
373,Northern Territory Premier League,Australia
374,FQPL 3 Metro,Australia
375,Northern NSW NPL,Australia
376,2. Division,Belarus
378,Super Cup,Ukraine
379,Super Cup,Germany
380,Super Cup,Czech Republic
381,Super Cup,Belgium
382,Supercupa,Romania
384,Super Cup,Italy
386,CONMEBOL Recopa,intl
387,Super Cup,Bulgaria
388,Division d'Honneur,Guadeloupe
389,Trophée des Champions,France
391,Super Cup,Netherlands
392,8 Cup,South Africa
393,Emir Cup,Kuwait
394,Emir Cup,Qatar
395,1. Deild,Iceland
396,Crown Prince Cup,Kuwait
397,Second Division,Qatar
398,First League,Montenegro
399,Srpska Liga,Serbia
400,Liga Mayor,Dominican Republic
401,Cup,Vietnam
402,CECAFA Senior Challenge Cup,intl
403,Premier League,Barbados
404,OFC Champions League,intl
405,Caribbean Cup,intl
407,Canadian Championship,Canada
408,FA Trophy,Malta
409,David Kipiani Cup,Georgia
410,Liga 2,Indonesia
411,Cup,Morocco
412,Super Cup,Norway
413,Cup,Iceland
414,Copa Chile,Chile
415,FIFA U17 World Cup,Worldcup
416,Cup,Belarus
417,Ligue 1,Congo DR
418,Asian Cup Qualification,intl
419,Korea Cup,Korea Republic
420,2. liga,Slovakia
421,Capital Territory NPL,Australia
422,Cup,Latvia
423,Cup,Lithuania
424,Cup,Bulgaria
425,FIFA U20 World Cup,Worldcup
426,Cup,Estonia
427,Cup,Cyprus
428,Cup,Serbia
429,Cupa României,Romania
430,Copa Bicentenario,Peru
431,Leagues Cup,intl
432,Besta deild Women,Iceland
433,Brasileiro U20 A,Brazil
434,WAFF Championship,Waff Championship
435,Copa Paraguay,Paraguay
436,Reserve League,Algeria
437,Liga Premier Serie A,Mexico
438,Reserve Pro League,Belgium
439,Super League 2,Greece
440,Friendlies Women,intl
441,COSAFA U20 Championship,intl
442,Trofeo de Campeones,Argentina
443,Federation Cup,Bangladesh
444,Elite Two,Cameroon
445,Supercopa,Peru
446,Premier League,Mongolia
447,Kakkosen Cup,Finland
448,Supercopa do Brasil,Brazil
449,NISA,USA
450,Liga Primera U20,Nicaragua
451,Reserve League,Belarus
452,Youth League,Turkmenistan
453,Kansallinen Liiga,Finland
454,NWSL Challenge Cup,USA
455,Copa por México,Mexico
456,Lao League,Laos
457,Curaçao Promé Divishon,Curacao
458,Women’s FA Community Shield,England
459,U21 Divisie 1,Netherlands
460,1. Liga Women,Czech Republic
461,NWSL Fall Series,USA
462,I Liga Women,Slovakia
463,U18 Divisie 1,Netherlands
464,I-League 2,India
465,Brasileiro de Aspirantes,Brazil
466,Liga Femenina,Colombia
467,Nacional B,Bolivia
468,Copa Paulista,Brazil
469,Diski Challenge,South Africa
470,Super Cup,Vietnam
471,Nasjonal U19 Champions League,Norway
472,Qatar Cup,Qatar
473,Olympic Qualifying Concacaf,World
474,Cup,Bosnia and Herzegovina
475,Copa Colombia,Colombia
477,Asian Games,intl
478,Gulf Cup of Nations,intl
479,AFF Championship,intl
480,CAF African Nations Championship,intl
481,Eredivisie Women,Netherlands
482,Kvindeliga,Denmark
483,Division 1,United Arab Emirates
484,CONMEBOL U20,intl
485,U19 Bundesliga,Germany
486,Queensland NPL,Australia
487,Provincial,Belgium
488,Premier League,Belize
489,Super League,Bhutan
490,Premier League,Botswana
491,Mineiro 2,Brazil
492,Cearense 2,Brazil
493,Premier League,Cambodia
494,2. Deild,Iceland
495,Iraqi League,Iraq
496,A Division,Nepal
497,Ligue 1,Senegal
498,Toppserien,Norway
499,UEFA Women's Championship,intl
500,Olympics Men,intl
501,A-League Women,Australia
502,Svenska Cupen Women,Sweden
503,Shield Cup,Jordan
504,Copa do Nordeste,Brazil
505,Super Cup,Kuwait
506,Cup,Azerbaijan
507,League Cup,Northern Ireland
508,Cup,Egypt
509,Cup,Albania
510,Cup,Montenegro
511,UEFA U21 Championship,intl
512,Cupa,Moldova
513,Sultan Cup,Oman
514,Cup,Kazakhstan
516,Presidents Cup,United Arab Emirates
517,Primera B,Colombia
518,Cup,Armenia
519,Cup,Tunisia
520,FA Cup,China
521,Copa MX,Mexico
522,Olympics Women,intl
523,1. Liga Promotion,Switzerland
524,Super Cup,Egypt
525,Super Copa,Argentina
526,EAFF E-1 Football Championship,intl
527,Superliga,Colombia
528,Concacaf U20,intl
529,Coupe Nationale,Algeria
530,1st Division,South Africa
531,Cup,South Africa
532,3. Lig,Turkey
533,Super Cup,Chile
534,Youth Championship,Russia
535,Premier League Asia Trophy,intl
536,Super Cup,Saudi Arabia
537,Super Cup,Albania
538,UEFA Youth League,eurocups
539,Federation Cup,Bahrain
541,Cup,Luxembourg
542,Cup,Liechtenstein
543,Coppa Titano,San Marino
544,Superliga,Kosovo
545,Ligue A,Burundi
546,LFA First Division,Liberia
547,Reykjavik Cup,Iceland
548,Copa Constitució,Andorra
549,Championnat National,Benin
550,Premier League,Rwanda
551,Ligi kuu Bara,Tanzania
552,GFA League,Gambia
553,Ligue 1,Guinea
554,Ligue 1,Burkina Faso
555,Premier League,Uganda
556,Premier League,Ethiopia
557,Mauritian League,Mauritius
558,Première Division,Mali
559,Premier League,Mauritania
560,Ligue 1,Congo
561,FAI President's Cup,Ireland
562,Super Cup,Kazakhstan
563,Copa Inca,Peru
564,Super League,Malawi
565,Super Cup,Andorra
567,Somali Premier League,Somalia
568,Copa Verde,Brazil
569,Vysshaya Liga,Tajikistan
570,AFC U23 Asian Cup,intl
571,Pacific Games,intl
572,International Champions Cup,intl
573,Super Cup,Israel
574,Super League,Belgium
575,Premier League (Crimea),Europe
576,Hazfi Cup,Iran
578,Super Cup,Algeria
579,Primeira Liga,Brazil
580,Fotbolti.net Cup A,Iceland
581,Victoria NPL,Australia
582,Ýokary Liga,Turkmenistan
583,Premier League,Kyrgyzstan
584,Tweede Divisie,Netherlands
585,Super Cup,Iceland
586,First Amateur Division,Belgium
587,Super Cup,Poland
588,1. Liga U19,Czech Republic
589,National League,Myanmar
590,Super Cup,Armenia
591,Malaysia Cup,Malaysia
592,U21 League,Ukraine
593,Premier League 2,England
594,Super Cup,Kosovo
595,League Cup,United Arab Emirates
597,Copa Centroamericana,intl
598,Santosh Trophy,India
599,Segunda División,Chile
600,SAFF Championship,intl
601,J3 League,Japan
602,Thai League 2,Thailand
603,Cup,Uzbekistan
604,King's Cup,Saudi Arabia
605,Crown Prince Cup,Saudi Arabia
606,Premier Intermediate League,Northern Ireland
607,Elitettan,Sweden
608,Tasmania NPL,Australia
609,3. SNL,Slovenia
610,Liga Alef,Israel
611,UEFA U19 Championship,eurocups
612,Coppa Italia Primavera,Italy
613,Super Cup Primavera,Italy
614,Professional Development League,England
615,Copa Federacion,Spain
616,Cup,Kosovo
617,West Bank Premier League,Palestine
618,Super Cup,Georgia
619,Africa U20 Cup of Nations,intl
620,Dhivehi Premier League,Maldives
621,Løgmanssteypid,Faroe Islands
622,U18 Premier League,England
623,PFL,Philippines
624,Concacaf League,intl
625,Frauenliga,Austria
626,Super League Women,Switzerland
627,Central Youth League,Poland
628,Campionato Primavera 1,Italy
629,DFB Junioren Pokal,Germany
630,Campionato Primavera 2,Italy
631,FA Cup,Thailand
632,São Paulo Youth Cup,Brazil
634,CONMEBOL Libertadores U20,intl
635,Concacaf Nations League Qualification,intl
636,Copa do Brasil U20,Brazil
637,AIFF Super Cup,India
638,China Cup,intl
639,WK-League,Korea Republic
640,FA Cup,Hong Kong
641,3. Division,Norway
642,FA Cup,Thailand
643,Liga MX Femenil,Mexico
644,Liga Revelação U23,Portugal
645,Liga 1 Feminin,Romania
646,Arab Club Champions Cup,intl
647,QSL Cup,Qatar
648,Senior Shield,Hong Kong
649,King's Cup,Bahrain
650,Women's FA Cup,England
651,Women's Super League,England
652,WSL 2,England
653,USL League One,USA
655,FA Women's League Cup,England
656,Piala Indonesia,Indonesia
657,Super Cup,Uzbekistan
658,Cup,North Macedonia
659,Canadian Premier League,Canada
660,Brasileiro Feminino A1,Brazil
661,Concacaf Caribbean Club Shield,intl
662,Copa de la Superliga,Argentina
663,Superliga Women,Russia
664,Concacaf Nations League,intl
665,OFC Nations Cup,intl
666,UEFA U21 Championship Qualification,intl
668,Premier League,Eswatini
669,Taça Revelação U23,Portugal
670,QFA Cup,Qatar
671,Coupe de la Ligue,Algeria
672,Super Cup,Jordan
673,Super Cup,Lithuania
674,NWSL,USA
675,Rock Cup,Gibraltar
676,Women's Olympic Qualifying Asia,intl
677,Super Copa,Uruguay
678,Queensland Premier League,Australia
679,Victoria PL 1,Australia
680,South Australia State League 1,Australia
681,NSW League One,Australia
682,Carioca A2,Brazil
684,Arab Cup,intl
685,Supercopa de Ecuador,Ecuador
686,WE League,Japan
687,Baltic Cup,intl
688,COSAFA Cup,intl
689,Concacaf Gold Cup Qualification,intl
690,Concacaf Caribbean Cup,intl
691,Super Cup,Cyprus
692,Supercopa MX,Mexico
693,Premier League,Pakistan
694,Liga Premier Serie B,Mexico
695,Coppa Italia Serie D,Italy
696,Copa Paulino Alcantara,Philippines
697,U20 League,Mexico
698,3. Division,Denmark
699,Liga 3,Portugal
700,Segunda División RFEF,Spain
701,Second Division A,Egypt
703,AFC U23 Asian Cup Qualification,intl
704,Women's WC Qualification Europe,Worldcup
705,Supercopa,Costa Rica
706,UEFA U17 Championship Qualification,intl
707,UEFA U19 Championship Qualification,eurocups
708,Cup,Jordan
710,Copa Perú,Peru
711,Premier League,Pakistan
712,Copa Perú,Peru
