league_key,league_name,country_name
12588,National League Cup,England
12589,Paraense U20,Brazil
12590,Copa Gaúcha,Brazil
12591,CECAFA U20 Championship,intl
12592,Sapling Cup,Hong Kong
12593,AFC U17 Asian Cup Qualification,intl
12594,AGCFF Gulf Champions League,intl
12595,Copa Fares Lopes,Brazil
12596,CAF Women's Champions League,intl
12597,Super Cup,Cameroon
12598,MFL Cup,Malaysia
12599,EAFF Football Championship Qualification,intl
12600,Coppa Italia Women,Italy
12601,Torneo Amistoso de Verano,Bolivia
12602,Concacaf Women's U20 Qualification,intl
12603,Copa LDF,Dominican Republic
12604,Challenge Cup,Malta
12605,Hun Sen Cup,Cambodia
12606,Northern Super League,Canada
12607,Women's President's Cup,Ireland
12608,Copa do Brasil U17,Brazil
12609,Supercopa,Venezuela
12610,Brasileiro U20 B,Brazil
12611,Copa Grão Pará,Brazil
12612,AFC U17 Asian Cup,intl
12613,AIFF Super Cup,India
12614,FIFA Club World Cup,Worldcup
12615,Super Cup,Latvia
12616,South Australia NPL,Australia
12617,Super Cup,Faroe Islands
12618,African Nations Championship Qualification,intl
